dissim	el0	el1	el2	el3	el4	el5	el6	el7	el8	el9	el10	el11	el12	el13	el14	el15	max_el	diff	diffplus	diffminus	std	diff/std**0.2	diff/std**0.6	diff/std**1	diff/std**1.4	diff/std**2	maxmiddle	similarwindow_4.0	similarwindow_4.1	similarwindow_4.2	similarwindow_4.3	stat0	stat1	stat2	stat3	stat4	stat5	stat6	stat7	stat8	stat9	stat10	stat11	stat12	stat13	stat14	stat15	stat16	stat17	stat18	stat19	stat20	stat21	stat22	stat23	stat24	stat25	stat26	stat27	stat28	stat29	stat30	stat31	stat32	stat33	stat34	stat35	stat36	stat37	stat38	stat39	stat40	stat41	stat42	stat43	stat44	class
0.0099351	0.13698	0.20666	0.18614	0.27802	0.10457	0.21605	0.20669	0.26661	0.29786	0.31346	0.16743	0.023894	0.02192	0.021248	0.023724	0.023757	0.31346	0.21213	0.10176	-0.11036	0.045047	0.24834	0.34011	0.46067	0.60167	0.70026	0.26562	0.30311	0.81734	0.89321	0.94601	0.019959	0.02699	0.01782	0.016722	0.048751	0.10817	0.10303	0.13016	0.14591	0.15386	0.082041	0.0081547	0.01038	0.0012019	0.0045302	0.00046991	0.2411	0.25715	0.22811	0.24719	-0.060006	-0.11586	0.06872	-0.0040062	-0.021621	0.09907	0.10397	0.12848	0.12439	0.122	0.12403	0.13189	0.10606	-0.10446	0.13923	0.089843	0.14236	-0.058772	0.15356	0.073667	-0.0084718	-0.043977	0.0016493	-0.029813	1.9525	446
0.014199	0.1645	0.13874	0.15806	0.16263	0.19797	0.24217	0.29785	0.40703	0.47071	0.35933	0.25102	0.098126	0.044319	0.023542	0.024837	0.023865	0.47071	0.27986	0.1387	-0.14116	0.06354	0.3059	0.36547	0.43363	0.50416	0.55558	0.35313	0.10214	0.58853	0.81733	0.94212	0.066155	0.051375	0.022818	0.027217	0.047412	0.09881	0.11282	0.1967	0.22995	0.17421	0.12153	0.047454	0.0072637	0.0047821	0.0030633	0.0042149	0.22587	0.30792	0.24413	0.26903	0.13148	0.010285	0.068087	0.016331	-0.13041	0.095929	0.1069	0.14127	0.12776	0.13719	0.13891	0.068552	0.12505	-0.072154	-0.12627	-0.13995	-0.07034	-0.066016	0.0118	-0.0059398	-0.045593	-0.039402	-0.030957	-0.03425	1.9346	455
0.010131	0.087186	0.13713	0.053565	0.24536	0.081237	0.13032	0.19005	0.34608	0.21088	0.049047	0.085371	0.05509	0.027004	0.023097	0.017416	0.012541	0.34608	0.17415	0.10564	-0.068513	0.036477	0.21266	0.31664	0.4647	0.6479	0.74727	0.525	0.13688	0.49914	0.32074	0.36323	0.046093	0.03968	0.025808	0.1247	0.040211	0.073691	0.099552	0.16083	0.10479	0.023779	0.0098772	0.0043501	0.0020485	0.0034051	0.0032998	0.0075236	0.22914	0.27006	0.21918	0.2443	0.035488	-0.1326	0.1404	0.08276	0.11206	-0.0095583	-0.049299	0.00036864	-0.0029934	0.13715	-0.13994	-0.13066	0.12481	0.13936	-0.13458	-0.13996	0.42047	0.18142	0.28694	0.28333	0.12388	0.0052372	0.06204	0.047844	1.7451	322
0.0095691	0.097647	0.11259	0.058389	0.22698	0.080109	0.11172	0.15947	0.30132	0.19549	0.04763	0.19309	0.074693	0.02666	0.022394	0.018335	0.012794	0.30132	0.099727	0.046637	-0.05309	0.040458	0.11929	0.17047	0.24055	0.32503	0.37821	0.38438	0.15928	0.34809	0.33919	0.47555	0.012515	0.050047	0.0087676	0.021338	0.01245	0.040098	0.077377	0.1456	0.089832	0.00090264	0.058197	0.020635	0.0043892	0.0094839	0.0054732	0.0027731	0.22622	0.24579	0.20722	0.22757	0.1283	0.12377	-0.0558	-0.13919	-0.058136	0.13709	0.13612	0.14142	0.11947	0.12602	0.14141	0.13963	-0.07072	-0.11012	0.020061	0.097882	0.32437	0.2118	0.35519	0.29015	0.078809	0.010353	0.10967	0.056923	1.6873	390
0.018056	0.1048	0.29552	0.31049	0.42717	0.4287	0.41258	0.42048	0.39361	0.31607	0.29416	0.23271	0.085054	0.019519	0.018288	0.022401	0.013755	0.4287	0.44298	0.26361	-0.17937	0.069006	0.47628	0.55068	0.63278	0.71447	0.76882	0.20938	0.10016	1.2029	1.2348	1.2402	0.037292	0.15406	0.16548	0.23015	0.22911	0.21447	0.218	0.19666	0.15584	0.14358	0.080865	0.020522	0.0029499	0.00069283	0.0036984	0.0065147	0.14289	0.36653	0.23855	0.28709	-0.14033	0.038623	0.036916	0.027539	0.034488	0.05995	0.062535	0.10132	0.11663	0.12883	-0.12596	-0.012529	0.064476	0.10456	0.077608	-0.12713	-0.059363	-0.025404	0.0018346	0.11595	-0.043721	-0.053013	-0.050029	-0.022201	1.9436	3056
0.0098528	0.076344	0.13641	0.13679	0.18118	0.14532	0.25918	0.26773	0.34159	0.3113	0.24216	0.12198	0.0096277	0.024892	0.0189	0.010158	0.027189	0.34159	0.2602	0.13564	-0.12456	0.042923	0.30758	0.42937	0.5924	0.78575	0.91543	0.35313	0.061417	0.83109	0.87192	0.90766	0.028513	0.030006	0.040846	0.08911	0.064213	0.11613	0.12952	0.17254	0.14897	0.11701	0.058941	0.0024052	0.0015748	0.0088948	0.0017732	0.0016356	0.27394	0.3108	0.26604	0.2907	0.063877	0.033328	0.14098	0.11961	0.12921	0.13016	0.1399	0.089365	0.11603	0.14138	0.14142	0.054111	-0.039368	-0.1182	-0.072587	0.048862	0.24135	0.020083	0.20087	0.14443	0.011207	-0.041956	0.00028771	-0.023008	2.0088	461
0.0063048	0.075983	0.087176	0.16658	0.055875	0.051632	0.10334	0.10538	0.23469	0.045501	0.035543	0.038604	0.010892	0.026009	0.025912	0.017778	0.012842	0.23469	0.086732	0.042787	-0.043945	0.026754	0.11267	0.18965	0.3125	0.47393	0.50549	0.58125	0.1441	0.21498	0.33891	0.26092	0.031177	0.03433	0.065629	0.020943	0.0053182	0.02968	0.014085	0.11467	0.024858	0.0096134	0.0073085	0.0003117	0.0027922	0.0064008	0.0014437	0.0016711	0.29122	0.31896	0.28583	0.29966	0.090945	0.13688	0.12704	0.14085	-0.068388	-0.088591	0.091245	0.12748	0.016123	-0.087633	-0.067785	-0.084057	0.025016	-0.11857	-0.040381	0.024735	0.30786	0.25704	0.29837	0.28767	0.028296	0.0059868	0.026118	0.020008	1.6062	318
0.019844	0.20621	0.1584	0.47988	0.52318	0.43472	0.20873	0.25107	0.37362	0.38642	0.47135	0.28804	0.06422	0.037149	0.03161	0.03513	0.033739	0.52318	0.47638	0.31693	-0.15944	0.059894	0.52688	0.64443	0.78231	0.92857	1.0385	0.24063	0.089482	0.67653	0.55609	0.62197	0.054726	0.082557	0.25248	0.28623	0.23863	0.13263	0.15743	0.21979	0.21131	0.25583	0.1579	0.030793	0.00601	0.0048219	0.015287	0.0024671	0.074509	0.30935	0.17666	0.24671	-0.040977	0.057439	0.048548	0.015006	0.012371	-0.07387	-0.068088	-0.035016	0.015391	0.021407	0.013446	0.072611	0.029941	0.049607	0.13063	-0.08821	0.19892	0.039363	0.01338	0.21817	-0.00041768	-0.042564	-0.036441	0.012292	1.8355	1233
0.013505	0.1349	0.20034	0.14225	0.16968	0.20849	0.34037	0.43176	0.35534	0.27897	0.2302	0.17306	0.057348	0.029194	0.014609	0.018834	0.026538	0.43176	0.28701	0.14028	-0.14673	0.058276	0.31918	0.39466	0.4842	0.58021	0.65289	0.31562	0.17343	0.6637	0.73047	1.0562	0.049204	0.06164	0.059756	0.083126	0.10088	0.16751	0.20902	0.17059	0.13482	0.096603	0.087346	0.019007	0.0035075	0.00094126	0.001428	0.0011291	0.27863	0.37956	0.27626	0.32161	0.11529	-0.01927	0.095516	0.12432	0.13968	0.11882	0.13897	0.13473	0.14123	0.133	0.13214	0.11094	-0.10555	0.13057	0.14047	-0.053237	-0.0040701	-0.05703	-0.027173	-0.00075542	-0.04842	-0.056894	-0.05729	-0.05044	1.9345	412
0.015637	0.31764	0.16553	0.4375	0.5395	0.11054	0.035439	0.018854	0.021244	0.057086	0.039427	0.040706	0.044463	0.05032	0.029296	0.030193	0.028179	0.5395	0.15637	0.10384	-0.052532	0.040917	0.18662	0.2655	0.37304	0.50228	0.58473	0.31875	0.088412	0.13626	0.23352	0.22145	0.09713	0.061787	0.24464	0.27713	0.032799	0.0066222	0.0067188	0.0041917	0.028366	0.019574	0.0051195	0.0048474	0.0081997	0.0093568	0.0051453	0.0084961	0.10588	0.28846	0.21247	0.21959	0.14135	0.11021	-0.001626	-0.040322	-0.01377	0.067197	-0.090288	-0.0024469	0.10758	0.1086	-0.077892	-0.14119	0.14045	-0.11969	-0.11489	-0.019835	0.23447	0.3615	0.28025	0.43332	-0.011639	0.05825	0.0076668	0.13428	1.1423	466.5
